,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.5608465608465608,0.5555555555555556,0.5043859649122807,0.5625,0.54453125,0.5458220203285993,0.5458220203285993
recall,0.496875,0.6640625,0.5390625,0.478125,0.54453125,0.54453125,0.54453125
f1-score,0.5269262634631318,0.604982206405694,0.5211480362537765,0.5168918918918919,0.54453125,0.5424870995036235,0.5424870995036235
support,640.0,640.0,640.0,640.0,0.54453125,2560.0,2560.0
