,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.4969604863221885,0.6016949152542372,0.44244105409153955,0.4513399153737659,0.48828125,0.4981090927604328,0.49810909276043275
recall,0.5109375,0.44375,0.4984375,0.5,0.48828125,0.48828125,0.48828125
f1-score,0.5038520801232665,0.5107913669064749,0.46877296105804556,0.4744255003706449,0.48828125,0.48946047711460794,0.48946047711460794
support,640.0,640.0,640.0,640.0,0.48828125,2560.0,2560.0
