,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.603225806451613,0.568988173455979,0.5201401050788091,0.5773026315789473,0.568359375,0.5674141791413371,0.5674141791413371
recall,0.584375,0.6765625,0.4640625,0.5484375,0.568359375,0.568359375,0.568359375
f1-score,0.5936507936507937,0.6181299072091363,0.49050371593724196,0.5625,0.568359375,0.566196104199293,0.566196104199293
support,640.0,640.0,640.0,640.0,0.568359375,2560.0,2560.0
