,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.5568,0.5875613747954174,0.4394904458598726,0.5602968460111317,0.52890625,0.5360371666666055,0.5360371666666055
recall,0.54375,0.5609375,0.5390625,0.471875,0.52890625,0.5289062499999999,0.52890625
f1-score,0.5501976284584981,0.5739408473221422,0.4842105263157895,0.5122985581000848,0.52890625,0.5301618900491286,0.5301618900491286
support,640.0,640.0,640.0,640.0,0.52890625,2560.0,2560.0
