,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.5320623916811091,0.5737704918032787,0.48184818481848185,0.5100775193798449,0.5265625,0.5244396469206787,0.5244396469206787
recall,0.4796875,0.65625,0.45625,0.5140625,0.5265625,0.5265625,0.5265625
f1-score,0.504519309778143,0.6122448979591837,0.46869983948635635,0.5120622568093385,0.5265625,0.5243815760082554,0.5243815760082553
support,640.0,640.0,640.0,640.0,0.5265625,2560.0,2560.0
