,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3879781420765027,0.32887700534759357,0.34146341463414637,0.4025974025974026,0.2631578947368421,0.6943396226415094,0.726457399103139,0.44754464285714285,0.4492672687338765,0.4492672687338765
recall,0.27734375,0.48046875,0.3828125,0.484375,0.15625,0.71875,0.6328125,0.44754464285714285,0.44754464285714285,0.44754464285714285
f1-score,0.3234624145785877,0.3904761904761905,0.36095764272559855,0.4397163120567376,0.19607843137254902,0.7063339731285988,0.6764091858037579,0.44754464285714285,0.44191916430600287,0.44191916430600287
support,256.0,256.0,256.0,256.0,256.0,256.0,256.0,0.44754464285714285,1792.0,1792.0
