,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.6094890510948905,0.6003236245954693,0.45300261096605743,0.5573248407643312,0.54765625,0.5550350318551871,0.5550350318551871
recall,0.521875,0.5796875,0.5421875,0.546875,0.54765625,0.54765625,0.54765625
f1-score,0.5622895622895623,0.589825119236884,0.49359886201991465,0.5520504731861199,0.54765625,0.5494410041831203,0.5494410041831201
support,640.0,640.0,640.0,640.0,0.54765625,2560.0,2560.0
