,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.7037037037037037,0.64822695035461,0.5647058823529412,0.6299342105263158,0.633984375,0.6366426867343926,0.6366426867343927
recall,0.6234375,0.7140625,0.6,0.5984375,0.633984375,0.633984375,0.633984375
f1-score,0.6611433305716653,0.6795539033457249,0.5818181818181818,0.6137820512820513,0.633984375,0.6340743667544058,0.6340743667544058
support,640.0,640.0,640.0,640.0,0.633984375,2560.0,2560.0
