,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3853211009174312,0.3492063492063492,0.3197278911564626,0.32081911262798635,0.2972972972972973,0.5224719101123596,0.501466275659824,0.40457589285714285,0.38518713385395864,0.38518713385395864
recall,0.328125,0.34375,0.18359375,0.3671875,0.21484375,0.7265625,0.66796875,0.40457589285714285,0.40457589285714285,0.40457589285714285
f1-score,0.35443037974683544,0.3464566929133858,0.23325062034739455,0.3424408014571949,0.2494331065759637,0.6078431372549019,0.5728643216080402,0.40457589285714285,0.3866741514148166,0.3866741514148166
support,256.0,256.0,256.0,256.0,256.0,256.0,256.0,0.40457589285714285,1792.0,1792.0
