,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.6515323496027242,0.7005571030640668,0.5961038961038961,0.647226173541963,0.6481119791666666,0.6488548805781625,0.6488548805781625
recall,0.7473958333333334,0.6549479166666666,0.59765625,0.5924479166666666,0.6481119791666666,0.6481119791666666,0.6481119791666666
f1-score,0.6961795027289266,0.676985195154778,0.5968790637191157,0.6186267845003399,0.6481119791666666,0.6471676365257901,0.64716763652579
support,768.0,768.0,768.0,768.0,0.6481119791666666,3072.0,3072.0
