,de,en,es,it,ja,nl,ta,accuracy,macro avg,weighted avg
precision,0.36363636363636365,0.3466666666666667,0.37037037037037035,0.2777777777777778,0.7142857142857143,0.3504273504273504,0.5948275862068966,0.41964285714285715,0.4311416899101629,0.4311416899101629
recall,0.5,0.40625,0.234375,0.3125,0.625,0.3203125,0.5390625,0.41964285714285715,0.41964285714285715,0.41964285714285715
f1-score,0.42105263157894735,0.37410071942446044,0.28708133971291866,0.29411764705882354,0.6666666666666666,0.3346938775510204,0.5655737704918032,0.41964285714285715,0.4204695217835201,0.4204695217835201
support,128.0,128.0,128.0,128.0,128.0,128.0,128.0,0.41964285714285715,896.0,896.0
