,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.5712074303405573,0.5798192771084337,0.4948905109489051,0.5716814159292035,0.553125,0.5543996585817749,0.5543996585817749
recall,0.5765625,0.6015625,0.5296875,0.5046875,0.553125,0.5531250000000001,0.553125
f1-score,0.5738724727838258,0.5904907975460123,0.5116981132075472,0.5360995850622406,0.553125,0.5530402421499064,0.5530402421499064
support,640.0,640.0,640.0,640.0,0.553125,2560.0,2560.0
