,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3853211009174312,0.350597609561753,0.3197278911564626,0.3231292517006803,0.2972972972972973,0.5224719101123596,0.501466275659824,0.40513392857142855,0.38571590520082977,0.38571590520082977
recall,0.328125,0.34375,0.18359375,0.37109375,0.21484375,0.7265625,0.66796875,0.40513392857142855,0.40513392857142855,0.40513392857142855
f1-score,0.35443037974683544,0.34714003944773175,0.23325062034739455,0.34545454545454546,0.2494331065759637,0.6078431372549019,0.5728643216080402,0.40513392857142855,0.387202307205059,0.387202307205059
support,256.0,256.0,256.0,256.0,256.0,256.0,256.0,0.40513392857142855,1792.0,1792.0
