,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3584392014519056,0.33682830930537355,0.33263598326359833,0.2833607907742998,0.36083916083916084,0.495949594959496,0.44695481335952847,0.383609693877551,0.37357255056476607,0.37357255056476607
recall,0.4408482142857143,0.28683035714285715,0.3549107142857143,0.19196428571428573,0.28794642857142855,0.6149553571428571,0.5078125,0.383609693877551,0.383609693877551,0.383609693877551
f1-score,0.3953953953953954,0.30982519590114527,0.3434125269978402,0.22887558216899534,0.3202979515828678,0.5490782262082711,0.4754440961337513,0.383609693877551,0.37461842491260944,0.3746184249126095
support,896.0,896.0,896.0,896.0,896.0,896.0,896.0,0.383609693877551,6272.0,6272.0
