,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3670886075949367,0.322884012539185,0.4241192411924119,0.2674285714285714,0.3302540415704388,0.5654761904761905,0.6227608008429927,0.4159366576819407,0.414287352234961,0.414287352234961
recall,0.30778301886792453,0.3643867924528302,0.36910377358490565,0.2759433962264151,0.33726415094339623,0.5601415094339622,0.6969339622641509,0.4159366576819407,0.4159366576819407,0.4159366576819407
f1-score,0.33483001924310457,0.34238227146814404,0.39470365699873894,0.2716192687173535,0.3337222870478413,0.5627962085308057,0.657762938230384,0.4159366576819407,0.4139738071766246,0.4139738071766246
support,848.0,848.0,848.0,848.0,848.0,848.0,848.0,0.4159366576819407,5936.0,5936.0
