,en,de,nl,es,it,ja,ta,tr,accuracy,macro avg,weighted avg
precision,0.38081805359661497,0.36258437801350046,0.3423312883435583,0.3213675213675214,0.34782608695652173,0.43467543138866066,0.5131578947368421,0.4589041095890411,0.3917643229166667,0.3952080954990326,0.39520809549903263
recall,0.3515625,0.4895833333333333,0.36328125,0.24479166666666666,0.3645833333333333,0.6888020833333334,0.45703125,0.17447916666666666,0.3917643229166667,0.3917643229166667,0.3917643229166667
f1-score,0.36560595802301965,0.4166204986149584,0.35249526216045485,0.2779009608277901,0.35600762873490144,0.5329974811083124,0.4834710743801653,0.2528301886792453,0.3917643229166667,0.37974113156610595,0.37974113156610595
support,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,0.3917643229166667,6144.0,6144.0
