,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.3447782546494993,0.30603448275862066,0.33790523690773067,0.2646239554317549,0.3153034300791557,0.4890829694323144,0.48284625158831,0.36867559523809523,0.36293922583534083,0.3629392258353408
recall,0.3138020833333333,0.27734375,0.3528645833333333,0.24739583333333334,0.3111979166666667,0.5833333333333334,0.4947916666666667,0.36867559523809523,0.36867559523809523,0.36867559523809523
f1-score,0.3285616905248807,0.29098360655737704,0.3452229299363057,0.2557200538358008,0.3132372214941022,0.5320665083135392,0.4887459807073955,0.36867559523809523,0.3649339987670573,0.36493399876705734
support,768.0,768.0,768.0,768.0,768.0,768.0,768.0,0.36867559523809523,5376.0,5376.0
