,en,de,nl,es,it,ja,ta,accuracy,macro avg,weighted avg
precision,0.38571428571428573,0.38004246284501064,0.4235294117647059,0.37322515212981744,0.39097744360902253,0.528,0.5694087403598972,0.4415922619047619,0.43584249948896275,0.4358424994889627
recall,0.38671875,0.4661458333333333,0.328125,0.23958333333333334,0.40625,0.6875,0.5768229166666666,0.4415922619047619,0.44159226190476186,0.4415922619047619
f1-score,0.3862158647594278,0.41871345029239765,0.36977256052824653,0.29183187946074546,0.39846743295019155,0.5972850678733032,0.5730918499353169,0.4415922619047619,0.4336254436856613,0.43362544368566125
support,768.0,768.0,768.0,768.0,768.0,768.0,768.0,0.4415922619047619,5376.0,5376.0
