,de,en,es,it,accuracy,macro avg,weighted avg
precision,0.5363214837712519,0.5633608815426997,0.5440528634361234,0.5225102319236017,0.54140625,0.5415613651684191,0.5415613651684191
recall,0.5421875,0.6390625,0.3859375,0.5984375,0.54140625,0.54140625,0.54140625
f1-score,0.5392385392385393,0.5988286969253295,0.4515539305301645,0.5579024034959942,0.54140625,0.5368808925475069,0.5368808925475068
support,640.0,640.0,640.0,640.0,0.54140625,2560.0,2560.0
